text,label
"Prezados, estou com um problema ao tentar gerar o relatório de vendas do último trimestre. O sistema apresenta o erro '504 Gateway Timeout'. Poderiam verificar, por favor? Fico no aguardo.",produtivo
"Olá equipe, só passando para agradecer a ajuda de todos no projeto Alpha. O cliente ficou extremamente satisfeito com a entrega! Muito obrigado!",improdutivo
"Bom dia, você poderia me enviar o link para a documentação da nova API de pagamentos? Preciso integrar com o módulo de faturamento até sexta-feira.",produtivo
"Feliz aniversário, Carlos! Muitas felicidades, saúde e sucesso neste novo ciclo. Um grande abraço!",improdutivo
"Gostaria de solicitar acesso de leitura ao banco de dados de produção para o novo analista, João Silva. A justificativa é a necessidade de extrair dados para relatórios gerenciais. Qual o procedimento?",produtivo
"Pessoal, informamos que o sistema ficará indisponível no próximo sábado, das 14h às 16h, para uma manutenção programada. Agradecemos a compreensão.",improdutivo
"Olá, Ana. Verifiquei que o caso #8923 ainda está pendente de sua aprovação. Há alguma previsão de quando você conseguirá analisar?",produtivo
"Parabéns pelo excelente trabalho na apresentação de ontem, ficou fantástico!",improdutivo
"Com licença, poderiam resetar minha senha de acesso ao portal do cliente? Tentei o 'esqueci minha senha', mas não recebi o email de recuperação.",produtivo
Obrigado por enviar o relatório. Vou analisar e retorno se tiver alguma dúvida.,improdutivo
Preciso de ajuda para configurar minha nova estação de trabalho. O segundo monitor não está sendo reconhecido pelo sistema. Onde devo abrir um chamado?,produtivo
"Segue em anexo a ata da reunião de planejamento realizada hoje. Por favor, confirmem o recebimento.",improdutivo
Qual é o status da correção do bug reportado no ticket #TICK-4561? O cliente está aguardando uma solução.,produtivo
"Só para confirmar, nosso encontro para alinhar as próximas etapas está mantido para amanhã às 10h, certo?",produtivo
Agradeço imensamente pela sua ajuda com o problema no servidor mais cedo. Foi de grande valia!,improdutivo
"Olá, não estou conseguindo acessar a pasta compartilhada do projeto 'Beta'. Recebo uma mensagem de 'acesso negado'. Podem me conceder a permissão necessária?",produtivo
"Equipe, a nova política de home office já está disponível para consulta na intranet. Leiam com atenção.",improdutivo
Poderiam me informar qual a versão do Java instalada no ambiente de homologação? Estou com problemas de compatibilidade na minha máquina local.,produtivo
Parabéns a todos os envolvidos no lançamento da nova feature! Foi um sucesso!,improdutivo
Estou com uma dúvida sobre a funcionalidade de exportação de dados. É possível exportar em formato XLS ou apenas em CSV?,produtivo
"Recebemos seu contato. Seu número de protocolo é 20250830-001. Em breve, um de nossos especialistas entrará em contato.",improdutivo
"Este E-mail é extremamente importante e precisa de atenção, preciso de mais informações sobre a atividade de ontem.",produtivo
"Por favor, aprove o orçamento anexo para a compra dos novos equipamentos de rede. O prazo para o fornecedor é até o final do dia.",produtivo
Lembrete: A reunião mensal de alinhamento de equipe será hoje às 15h na sala de conferências 3.,improdutivo
